filename,person,audio,noise,snr,provider,text,status,transcription_time
p8_1_cafe_0dB.wav,p8,1,cafe,0dB,azure,"Generó una cotización para el cliente como fácil, con 5 monitor Clip y 3 soportes de pareja.",success,1.88
p8_1_cafe_5dB.wav,p8,1,cafe,5dB,azure,"Genera una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pareja.",success,1.85
p8_1_cafe_10dB.wav,p8,1,cafe,10dB,azure,"Generó una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pareja.",success,1.83
p8_1_clean.wav,p8,1,clean,,azure,"Generó una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pared.",success,1.76
p8_1_traffic_0dB.wav,p8,1,traffic,0dB,azure,"Generó una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pared.",success,1.76
p8_1_traffic_5dB.wav,p8,1,traffic,5dB,azure,Generó una cotización para el cliente. Bombo fácil con 5 monitores LED y 3 soportes de pared.,success,1.81
p8_1_traffic_10dB.wav,p8,1,traffic,10dB,azure,"Generó una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pared.",success,1.72
p8_1_warehouse_0dB.wav,p8,1,warehouse,0dB,azure,"Generó una cotización para cliente como fácil consumir como editores, red y de soportes de pareja.",success,1.81
p8_1_warehouse_5dB.wav,p8,1,warehouse,5dB,azure,"Generó una cotización para cliente como fácil, con 5 monitores red y 3 soportes de pareja.",success,1.73
p8_1_warehouse_10dB.wav,p8,1,warehouse,10dB,azure,"Generó una cotización para el cliente como fácil, con 5 monitores LED y 3 soportes de pareja.",success,1.86
p8_2_cafe_0dB.wav,p8,2,cafe,0dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar update Business.,success,1.97
p8_2_cafe_5dB.wav,p8,2,cafe,5dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnologys.,success,2.02
p8_2_cafe_10dB.wav,p8,2,cafe,10dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnologys.,success,2.08
p8_2_clean.wav,p8,2,clean,,azure,Preparó un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnosis.,success,2.02
p8_2_traffic_0dB.wav,p8,2,traffic,0dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para ayudar a tecnologías.,success,2.01
p8_2_traffic_5dB.wav,p8,2,traffic,5dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar updatemnosis.,success,2.11
p8_2_traffic_10dB.wav,p8,2,traffic,10dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnosis.,success,2.01
p8_2_warehouse_0dB.wav,p8,2,warehouse,0dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnich.,success,2.06
p8_2_warehouse_5dB.wav,p8,2,warehouse,5dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnosis.,success,2.00
p8_2_warehouse_10dB.wav,p8,2,warehouse,10dB,azure,Preparé un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a tecnosis.,success,2.11
p8_3_cafe_0dB.wav,p8,3,cafe,0dB,azure,Creó una oferta comercial para Carla Santana con un escritorio Ejecutivo modelo XG premium.,success,1.73
p8_3_cafe_5dB.wav,p8,3,cafe,5dB,azure,Crea una oferta comercial para Carla Santana con un escritorio Ejecutivo modelo XG premium.,success,1.75
p8_3_cafe_10dB.wav,p8,3,cafe,10dB,azure,Crea una oferta comercial para Carla Santana con un escritorio Ejecutivo modelo XG premium.,success,1.73
p8_3_clean.wav,p8,3,clean,,azure,Crea una oferta comercial para Carla Santana con un escritorio Ejecutivo modelo XG premium.,success,1.80
p8_3_traffic_0dB.wav,p8,3,traffic,0dB,azure,Crea una oferta comercial para Carla Santana con un futuro Ejecutivo modelo xg premium.,success,1.79
p8_3_traffic_5dB.wav,p8,3,traffic,5dB,azure,Crea una oferta comercial para Carla Quintana con un escritorio Ejecutivo modelo xg premium.,success,1.78
p8_3_traffic_10dB.wav,p8,3,traffic,10dB,azure,Crea una oferta comercial para Carla Santana con un escritorio Ejecutivo modelo xg premium.,success,1.74
