filename,person,audio,noise,snr,provider,text,status,transcription_time
p1_1_cafe_0dB.wav,p1,1,cafe,0dB,custom,Genera una cotización para el cliente Compo Fácil con 5 monitores LED y 3 soportes de paredes.,success,2.32
p1_1_cafe_5dB.wav,p1,1,cafe,5dB,custom,Genera una cotización para el cliente compro fácil con 5 monitores LED y 3 soportes de paredes.,success,1.45
p1_1_cafe_10dB.wav,p1,1,cafe,10dB,custom,Genera una cotización para el cliente con por fácil con 5 monitores LED y 3 soportes de pared.,success,1.35
p1_1_clean.wav,p1,1,clean,,custom,Genera una cotización para el cliente con Puffazil con 5 monitores LED y 3 soportes de pared.,success,1.39
p1_1_traffic_0dB.wav,p1,1,traffic,0dB,custom,Genera una cotización para el cliente a tiempo fácil con 5 monitores LED y 3 soportes de pared.,success,1.43
p1_1_traffic_5dB.wav,p1,1,traffic,5dB,custom,Genera una cotización para el cliente Compo Fácil con 5 monitores LED y 3 soportes de pared.,success,1.44
p1_1_traffic_10dB.wav,p1,1,traffic,10dB,custom,Genera una cotización para el cliente compo fácil con 5 monitores LED y 3 soportes de pared.,success,1.36
p1_1_warehouse_0dB.wav,p1,1,warehouse,0dB,custom,Genera una cotización para el cliente con tu paquete con 5 monitores LED y 3 soportes de pared.,success,1.50
p1_1_warehouse_5dB.wav,p1,1,warehouse,5dB,custom,Genera una cotización para el cliente con 5 monitores LED y 3 soportes de pared.,success,1.32
p1_1_warehouse_10dB.wav,p1,1,warehouse,10dB,custom,Genera una cotización para el cliente con por fácil con 5 monitores LED y 3 soportes de pared.,success,1.44
p1_2_cafe_0dB.wav,p1,2,cafe,0dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno CIS.,success,1.53
p1_2_cafe_5dB.wav,p1,2,cafe,5dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno CIS.,success,1.54
p1_2_cafe_10dB.wav,p1,2,cafe,10dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno CIS.,success,1.50
p1_2_clean.wav,p1,2,clean,,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.57
p1_2_traffic_0dB.wav,p1,2,traffic,0dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.53
p1_2_traffic_5dB.wav,p1,2,traffic,5dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno CIS.,success,1.53
p1_2_traffic_10dB.wav,p1,2,traffic,10dB,custom,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno CIS.,success,1.53
