filename,person,audio,noise,snr,provider,text,status,transcription_time
p8_1_cafe_0dB.wav,p8,1,cafe,0dB,google,generar una cotización para el cliente con un fácil con cinco monitores y tres soportes de pared,success,1.56
p8_1_cafe_5dB.wav,p8,1,cafe,5dB,google,Genera una cotización para el cliente Combu Fácil con cinco monitores LED y tres soportes de pared.,success,1.04
p8_1_cafe_10dB.wav,p8,1,cafe,10dB,google,Genera una cotización para el cliente CompoFácil con cinco monitores LED y tres soportes de pared.,success,1.03
p8_1_clean.wav,p8,1,clean,,google,Genera una cotización para el cliente con muy fácil con cinco monitores LED y tres soportes de pared.,success,1.05
p8_1_traffic_0dB.wav,p8,1,traffic,0dB,google,Genera una cotización para el cliente con un fácil con cinco monitores LED y tres soportes de pared.,success,1.14
p8_1_traffic_5dB.wav,p8,1,traffic,5dB,google,Genera una cotización para el cliente combo fácil con cinco monitores LED y tres soportes de pared.,success,1.01
p8_1_traffic_10dB.wav,p8,1,traffic,10dB,google,Genera una cotización para el cliente Combo Fácil con cinco monitores LED y tres soportes de pared.,success,1.02
p8_1_warehouse_0dB.wav,p8,1,warehouse,0dB,google,"Genera una cotización para el cliente con un pago fácil con 5 minutos, ¿quieres que te ayude con esa parte?",success,1.02
p8_1_warehouse_5dB.wav,p8,1,warehouse,5dB,google,Genera una cotización para el cliente con un fácil con cinco monitores LED y tres soportes de pared.,success,1.12
p8_1_warehouse_10dB.wav,p8,1,warehouse,10dB,google,Genera una cotización para el cliente con voz fácil con cinco monitores LED y tres soportes de pared.,success,1.02
p8_2_cafe_0dB.wav,p8,2,cafe,0dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a TecnoSys.,success,1.09
p8_2_cafe_5dB.wav,p8,2,cafe,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.05
p8_2_cafe_10dB.wav,p8,2,cafe,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.15
p8_2_clean.wav,p8,2,clean,,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.03
p8_2_traffic_0dB.wav,p8,2,traffic,0dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno,success,1.12
p8_2_traffic_5dB.wav,p8,2,traffic,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosys.,success,1.11
p8_2_traffic_10dB.wav,p8,2,traffic,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.04
p8_2_warehouse_0dB.wav,p8,2,warehouse,0dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno.,success,1.05
p8_2_warehouse_5dB.wav,p8,2,warehouse,5dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecno Tips.,success,1.05
p8_2_warehouse_10dB.wav,p8,2,warehouse,10dB,google,Prepara un presupuesto urgente con 10 teclados inalámbricos y 10 ratones ópticos para enviar a Tecnosis.,success,1.15
p8_3_cafe_0dB.wav,p8,3,cafe,0dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Prime.,success,0.93
p8_3_cafe_5dB.wav,p8,3,cafe,5dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,0.89
p8_3_cafe_10dB.wav,p8,3,cafe,10dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,0.96
p8_3_clean.wav,p8,3,clean,,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,1.01
p8_3_traffic_0dB.wav,p8,3,traffic,0dB,google,Quiero una oferta comercial para Carla Santana que me interese el modelo XG Premium.,success,0.92
p8_3_traffic_5dB.wav,p8,3,traffic,5dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,0.94
p8_3_traffic_10dB.wav,p8,3,traffic,10dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,0.86
p8_3_warehouse_0dB.wav,p8,3,warehouse,0dB,google,Queremos una oferta comercial para Carla Santana con un equipo de sonido modelo XG Premium.,success,0.95
p8_3_warehouse_5dB.wav,p8,3,warehouse,5dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,1.05
p8_3_warehouse_10dB.wav,p8,3,warehouse,10dB,google,Crea una oferta comercial para Carla Santana con un escritorio ejecutivo modelo XG Premium.,success,1.03
p8_4_cafe_0dB.wav,p8,4,cafe,0dB,google,"Quiero una computadora para mi laptop, incluye dos laptops con i7 y trae impresora multifunción.",success,1.01
p8_4_cafe_5dB.wav,p8,4,cafe,5dB,google,Genera una plataforma para Andina con incluyendo laptops con i7 y tres impresoras multifunción.,success,0.98
p8_4_cafe_10dB.wav,p8,4,cafe,10dB,google,Genera una proforma para Andina Corp incluyendo dos laptops con i7 y tres impresoras multifunción.,success,1.04
p8_4_clean.wav,p8,4,clean,,google,Genera una proforma para Andina Corp. Incluye dos laptops con i7 y tres impresoras multifunción.,success,1.10
p8_4_traffic_0dB.wav,p8,4,traffic,0dB,google,Genera una persona para Amineko y su lleva laptop y siete impresoras multifuncionales.,success,0.90
p8_4_traffic_5dB.wav,p8,4,traffic,5dB,google,"Genera una proforma para Andinaco, incluye dos laptops con i7 y tres impresoras multifunción.",success,1.10
p8_4_traffic_10dB.wav,p8,4,traffic,10dB,google,"Genera una proforma para Andina Corp, incluye dos laptops con i7 y tres impresoras multifunción.",success,1.04
p8_4_warehouse_0dB.wav,p8,4,warehouse,0dB,google,Genera una proforma para una laptop HP 15-dy2024la con i7 y 300 horas multifunción.,success,0.96
p8_4_warehouse_5dB.wav,p8,4,warehouse,5dB,google,Genera una proforma para 10 laptops con i7 y tres impresoras multifunción.,success,0.98
